what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1458331724961
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1458331724961
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1458331724962
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1458331724963
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1458331724963
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1458331724963
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1458331724964
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1458331724964
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1458331724964
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1458331724965
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458331724965
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1458331724966
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458331724966
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1458331724967
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1458331724967
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1458331724967
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1458331724967
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1458331724968
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1458331724968
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1458331724968
os,sysinfo,,,"linux",1458331724970
arch,sysinfo,,,"x86",1458331724970
ws,sysinfo,,,"gtk",1458331724970
locale,sysinfo,,,"en_US",1458331724970
processors,sysinfo,,,"8",1458331724970
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458331724970
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1458331724970
java.specification.name,sysinfo,,,"Java Platform API Specification",1458331724970
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458331724970
java.specification.version,sysinfo,,,"1.6",1458331724970
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1458331724970
java.version,sysinfo,,,"1.6.0_23",1458331724970
java.vm.info,sysinfo,,,"mixed mode",1458331724970
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1458331724970
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458331724970
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458331724970
java.vm.specification.version,sysinfo,,,"1.0",1458331724970
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1458331724970
java.vm.version,sysinfo,,,"19.0-b09",1458331724970
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1458331724984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1458334108378
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1458334108459
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1458334108492
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1458334114356
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1458334114359
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1458334114360
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1458334114361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334114416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334118111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334151313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334151762
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1458334154560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334155450
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1458334162143
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1458334165094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334165167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334165174
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458334169299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334169309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334171120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334189229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334192252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334198561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334198576
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458334220402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334220412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334230507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334241091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334246549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334246703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334248954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334255267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334255281
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458334273945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334273953
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458334274694
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1458334274926
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1458334274950
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458334278068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334319221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334514265
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458334516875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1458334521573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1458334543461
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1458334547997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334549321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334550029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334552433
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458334553003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334553011
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458334553664
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1458334554249
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458334557064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334622035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334685866
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458334694897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458334734066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458335271088
