what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339445632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339446346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339446934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339447570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339452499
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458339453086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339453093
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458339453758
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1458339454283
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458339457163
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458339476198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1458339479968
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458339486592
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1458339488500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339505326
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1458339506356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458339506363
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458339507076
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1458339507583
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1458339510277
