what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1458323920054
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1458323920062
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1458323920062
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1458323920066
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1458323920078
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1458323920087
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1458323920088
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1458323920089
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1458323920095
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1458323920185
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1458323920187
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458323920188
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1458323920207
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458323920208
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1458323920208
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1458323920228
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1458323920228
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1458323920228
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1458323920228
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1458323920229
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1458323920229
os,sysinfo,,,"linux",1458323920230
arch,sysinfo,,,"x86",1458323920230
ws,sysinfo,,,"gtk",1458323920230
locale,sysinfo,,,"en_US",1458323920230
processors,sysinfo,,,"8",1458323920231
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458323920231
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1458323920231
java.specification.name,sysinfo,,,"Java Platform API Specification",1458323920231
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458323920231
java.specification.version,sysinfo,,,"1.6",1458323920231
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1458323920231
java.version,sysinfo,,,"1.6.0_23",1458323920231
java.vm.info,sysinfo,,,"mixed mode",1458323920231
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1458323920231
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458323920231
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458323920231
java.vm.specification.version,sysinfo,,,"1.0",1458323920231
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1458323920231
java.vm.version,sysinfo,,,"19.0-b09",1458323920231
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458323928708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458323928731
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458323934046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458323941360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458324342085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458324342778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458324945442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458324952098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325648911
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458325673241
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458325673260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458325674120
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458325676227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325694175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325753736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325758841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325822115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325839787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325874438
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1458325896440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1458325896474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325899836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325996070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458325999912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326001247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326004558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326153202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326174089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326186067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326193349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326256589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326258692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326265244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326267244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326272628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326275500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326295861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326299035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326302213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326304548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326352248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458326355440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326370156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458326449919
